id,meeting_id,task,assignee,deadline,status,created_at,updated_at
35d0c491-bf82-4967-a87c-c0813e7199a8,a75301d9-79b8-4e98-ae88-c78c37e7ce91,I want to assign task to Radhika.,"","",open,2026-04-09 23:30:56.7734+05:30,2026-04-09 23:30:56.7734+05:30
36c00730-8e44-42fe-a6ad-bdf4a1deaa51,a75301d9-79b8-4e98-ae88-c78c37e7ce91,I want to assign task to Radhika.,"","",open,2026-04-09 23:30:56.7734+05:30,2026-04-09 23:30:56.7734+05:30
b3dae590-f34f-48cb-a39e-5ef6b023abbe,af0b8802-0e91-4c0a-a5dc-3de5aa2f940c,I want to assign task.,"","",open,2026-04-10 00:38:53.880712+05:30,2026-04-10 00:38:53.880712+05:30
20d7db8b-badc-4aa8-ac0e-c183a9616a63,af0b8802-0e91-4c0a-a5dc-3de5aa2f940c,I want to assign task to.,"","",open,2026-04-10 00:38:53.880712+05:30,2026-04-10 00:38:53.880712+05:30
d4ef4e7e-6777-4e0e-91de-b8bc42e27681,af0b8802-0e91-4c0a-a5dc-3de5aa2f940c,I want to assign task to J.,"","",open,2026-04-10 00:38:53.880712+05:30,2026-04-10 00:38:53.880712+05:30
489c632b-57d4-46d8-9543-18868284bcbe,af0b8802-0e91-4c0a-a5dc-3de5aa2f940c,I want to assign task to Jai.,"","",open,2026-04-10 00:38:53.880712+05:30,2026-04-10 00:38:53.880712+05:30
ee693544-0369-434c-a7ee-605ac04b4a8c,af0b8802-0e91-4c0a-a5dc-3de5aa2f940c,Are you assigned?,"","",open,2026-04-10 00:38:53.880712+05:30,2026-04-10 00:38:53.880712+05:30
8dadfa8e-d015-49fc-8204-668e32b7e087,af0b8802-0e91-4c0a-a5dc-3de5aa2f940c,Are you assign task Aga?,"","",open,2026-04-10 00:38:53.880712+05:30,2026-04-10 00:38:53.880712+05:30
fdf601d9-d996-4545-bc63-055060b517ef,af0b8802-0e91-4c0a-a5dc-3de5aa2f940c,I want to assign task to Jai.,"","",open,2026-04-10 00:38:53.880712+05:30,2026-04-10 00:38:53.880712+05:30
97401cb1-c66f-4d98-98a7-d60c349e0d59,af0b8802-0e91-4c0a-a5dc-3de5aa2f940c,Assigned task.,"","",open,2026-04-10 00:38:53.880712+05:30,2026-04-10 00:38:53.880712+05:30
c31d0fc3-bec2-49d7-9edf-c9a271743e14,af0b8802-0e91-4c0a-a5dc-3de5aa2f940c,"assigned task is
Assigned task is the
assigned task is like,
assigned task is like a
I want to.","","",open,2026-04-10 00:38:53.880712+05:30,2026-04-10 00:38:53.880712+05:30
652ee086-25cf-4b0d-bcbf-82197f06bb5b,af0b8802-0e91-4c0a-a5dc-3de5aa2f940c,I want to assign us.,"","",open,2026-04-10 00:38:53.880712+05:30,2026-04-10 00:38:53.880712+05:30
